      Step     Time          Energy          fmax
BFGS:    0 16:41:06     -112.124082        4.925419
BFGS:    1 17:58:48     -112.408439        4.801530
BFGS:    2 03:25:34     -112.596180        1.185287
BFGS:    3 05:07:24     -112.642695        0.830464
BFGS:    4 05:38:49     -112.786465        0.587182
BFGS:    5 06:04:06     -112.838304        0.761010
BFGS:    6 07:19:29     -112.837648        1.045426
BFGS:    7 08:41:43     -112.898346        0.827595
BFGS:    8 09:29:13     -112.828276        1.117069
BFGS:    9 10:01:20     -112.951187        0.436577
BFGS:   10 10:26:03     -112.968328        0.456086
BFGS:   11 11:56:27     -112.996477        0.306770
BFGS:   12 12:30:22     -113.057650        0.352678
BFGS:   13 13:09:53     -113.027380        0.804246
BFGS:   14 13:35:32     -113.080525        0.477765
BFGS:   15 13:52:21     -113.090841        0.352098
BFGS:   16 14:13:54     -113.104673        0.221282
BFGS:   17 14:44:20     -113.119220        0.189917
BFGS:   18 15:14:47     -113.124041        0.184755
BFGS:   19 15:39:04     -113.128953        0.177375
BFGS:   20 16:08:17     -113.135426        0.137566
BFGS:   21 18:36:01     -113.137112        0.116436
BFGS:   22 18:52:41     -113.138337        0.078323
BFGS:   23 19:13:03     -113.139065        0.065573
BFGS:   24 19:31:19     -113.139491        0.030271
