      Step     Time          Energy          fmax
BFGS:    0 21:55:56     -112.727492        1.220901
BFGS:    1 22:16:39     -112.735838        2.435262
BFGS:    2 22:36:18     -112.772492        0.970191
BFGS:    3 22:55:55     -112.798034        1.086030
BFGS:    4 23:16:39     -112.822230        1.206100
BFGS:    5 23:37:20     -112.860839        0.882216
BFGS:    6 00:02:13     -112.918539        0.614547
BFGS:    7 00:35:30     -112.940440        0.648907
BFGS:    8 00:53:55     -112.956913        0.563827
BFGS:    9 01:22:27     -112.996061        0.266297
BFGS:   10 01:39:42     -113.002451        0.190043
BFGS:   11 02:03:44     -113.017440        0.137722
BFGS:   12 02:20:59     -113.019635        0.096847
BFGS:   13 02:37:05     -113.020965        0.099999
BFGS:   14 02:55:25     -113.023830        0.089987
BFGS:   15 03:18:16     -113.027073        0.142871
BFGS:   16 03:32:05     -113.028341        0.122538
BFGS:   17 03:48:11     -113.029823        0.086477
BFGS:   18 04:04:14     -113.030324        0.070903
BFGS:   19 04:13:36     -113.030572        0.041588
